               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,              0.0227,            0.006632,           0.0019085,             0.95931,             0.96364,             0.97788,             0.75391,            0.019811,            0.003197,          0.00035171,            0.008845,            0.008845,            0.008845
                  72,            0.022724,           0.0068765,            0.001876,              0.9569,             0.96209,             0.97632,             0.75407,            0.020068,           0.0031863,          0.00033704,           0.0088285,           0.0088285,           0.0088285
                  73,            0.022094,           0.0067989,           0.0017602,             0.95427,              0.9582,             0.96683,             0.75348,            0.019463,           0.0031285,          0.00031808,            0.008812,            0.008812,            0.008812
                  74,             0.02262,            0.006789,           0.0014161,             0.95941,              0.9621,             0.97596,             0.75469,            0.019253,            0.003163,          0.00028972,           0.0087955,           0.0087955,           0.0087955
                  75,             0.02324,           0.0067058,           0.0013281,             0.96133,             0.96243,             0.97765,             0.76267,            0.019368,           0.0031111,          0.00032244,            0.008779,            0.008779,            0.008779
                  76,            0.022632,           0.0069566,           0.0016074,             0.94653,             0.96816,             0.97592,             0.75857,            0.019332,           0.0030966,          0.00030246,           0.0087625,           0.0087625,           0.0087625
                  77,            0.022691,           0.0066346,           0.0013159,              0.9416,              0.9573,             0.96604,             0.73959,            0.020301,            0.003185,          0.00039505,            0.008746,            0.008746,            0.008746
                  78,            0.022477,           0.0064968,           0.0017912,              0.9395,             0.95639,             0.97447,             0.75558,            0.019409,           0.0031186,          0.00030437,           0.0087295,           0.0087295,           0.0087295
                  79,            0.022403,           0.0067113,           0.0016604,             0.95228,             0.95634,             0.97208,             0.75313,            0.019716,           0.0031494,          0.00032022,            0.008713,            0.008713,            0.008713
                  80,            0.022641,           0.0067099,            0.001645,             0.95005,             0.95367,             0.96849,             0.76086,             0.01949,           0.0031738,          0.00039822,           0.0086965,           0.0086965,           0.0086965
                  81,            0.022509,           0.0065459,           0.0015262,             0.96439,              0.9683,             0.97837,             0.75862,            0.019302,            0.003107,          0.00036143,             0.00868,             0.00868,             0.00868
                  82,            0.022637,           0.0066678,           0.0012317,             0.95111,             0.96591,             0.97633,             0.76403,            0.019265,           0.0030776,          0.00025753,           0.0086635,           0.0086635,           0.0086635
                  83,            0.022159,            0.006654,           0.0015485,             0.95975,             0.96403,             0.98007,             0.76704,            0.019828,           0.0031474,          0.00038216,            0.008647,            0.008647,            0.008647
                  84,            0.022222,           0.0066718,           0.0011495,             0.96228,             0.96454,             0.97382,             0.75293,            0.019506,           0.0031107,          0.00023014,           0.0086305,           0.0086305,           0.0086305
                  85,            0.022106,           0.0066962,           0.0015052,             0.95252,             0.95694,             0.96167,             0.75698,            0.019412,           0.0031471,          0.00030405,            0.008614,            0.008614,            0.008614
                  86,            0.022051,           0.0067525,           0.0015803,             0.95224,             0.97455,             0.97344,             0.76776,            0.018862,           0.0030418,          0.00019969,           0.0085975,           0.0085975,           0.0085975
                  87,            0.021938,           0.0067371,           0.0011127,             0.95625,             0.95846,              0.9684,             0.75579,            0.019558,           0.0030647,          0.00026196,            0.008581,            0.008581,            0.008581
                  88,            0.022109,            0.006923,           0.0011819,             0.95312,             0.96105,              0.9781,             0.75927,            0.019433,           0.0030665,          0.00033083,           0.0085645,           0.0085645,           0.0085645
                  89,            0.022686,           0.0066246,           0.0015095,             0.94911,             0.97057,             0.98181,              0.7707,            0.019271,           0.0030903,          0.00037482,            0.008548,            0.008548,            0.008548
                  90,            0.021754,           0.0066645,           0.0014725,             0.96066,             0.96385,              0.9807,             0.76637,            0.018904,           0.0031023,          0.00053234,           0.0085315,           0.0085315,           0.0085315
                  91,            0.023085,           0.0069189,           0.0012454,             0.94414,             0.96919,             0.97715,             0.76604,            0.019471,           0.0030731,          0.00031303,            0.008515,            0.008515,            0.008515
                  92,            0.022325,           0.0066104,           0.0010957,             0.94201,             0.97396,             0.97518,             0.77464,            0.018787,           0.0030166,          0.00020811,           0.0084985,           0.0084985,           0.0084985
                  93,            0.021927,           0.0064197,           0.0012057,             0.96102,             0.96636,             0.97984,             0.77294,            0.018773,           0.0030664,          0.00028667,            0.008482,            0.008482,            0.008482
                  94,            0.021505,           0.0064835,          0.00094388,             0.96698,             0.97231,             0.98447,             0.78226,            0.018514,           0.0030148,          0.00023721,           0.0084655,           0.0084655,           0.0084655
                  95,            0.021931,            0.006709,           0.0010432,             0.92301,             0.97205,             0.97364,             0.76693,            0.019203,           0.0031504,          0.00058499,            0.008449,            0.008449,            0.008449
                  96,            0.022285,           0.0065889,           0.0011744,             0.96254,             0.97453,             0.98595,             0.77931,            0.018485,           0.0030352,          0.00023397,           0.0084325,           0.0084325,           0.0084325
                  97,            0.022086,           0.0067338,           0.0010598,               0.955,             0.95511,             0.97877,             0.77708,            0.018944,           0.0030815,          0.00024582,            0.008416,            0.008416,            0.008416
                  98,             0.02172,           0.0063354,           0.0018533,             0.94562,             0.97799,             0.98393,             0.77521,            0.019047,           0.0030772,          0.00034374,           0.0083995,           0.0083995,           0.0083995
                  99,            0.020809,           0.0063735,           0.0013479,             0.95391,             0.97089,             0.98753,             0.77483,            0.018874,           0.0030111,          0.00032451,            0.008383,            0.008383,            0.008383
                 100,            0.021257,           0.0065343,          0.00097034,             0.96747,             0.97482,             0.98621,             0.78239,            0.018204,           0.0029994,          0.00035345,           0.0083665,           0.0083665,           0.0083665
                 101,            0.021639,           0.0066365,           0.0012191,             0.96276,             0.97545,             0.98788,             0.77569,            0.018533,           0.0030591,          0.00027477,             0.00835,             0.00835,             0.00835
                 102,               0.022,           0.0066712,           0.0010543,             0.96639,             0.97223,             0.97908,             0.77153,            0.018394,           0.0029795,          0.00023691,           0.0083335,           0.0083335,           0.0083335
                 103,            0.021939,           0.0066968,           0.0011216,              0.9499,             0.96733,             0.98345,             0.77756,            0.018646,           0.0030722,          0.00025314,            0.008317,            0.008317,            0.008317
